population.ID,species,Life.Stage,Sex.Ratio,N,sex.determination,SDM.Type,SuperTaxa,model4,Conservative,Citation,Source,sex.det.source
2146a,Gopherus_polyphemus,adult.sex.ratio,0.452,42,TSD,TSD Ia,crocoturtle,turtles,Y,2146,Bokony,species.in.TreeOfSex
2146b,Gopherus_polyphemus,adult.sex.ratio,0.605,177,TSD,TSD Ia,crocoturtle,turtles,Y,2146,Bokony,species.in.TreeOfSex
2146c,Gopherus_polyphemus,adult.sex.ratio,0.545,123,TSD,TSD Ia,crocoturtle,turtles,Y,2146,Bokony,species.in.TreeOfSex
2147a,Gopherus_polyphemus,adult.sex.ratio,0.348,23,TSD,TSD Ia,crocoturtle,turtles,Y,2147,Bokony,species.in.TreeOfSex
2149a,Gopherus_polyphemus,adult.sex.ratio,0.467,60,TSD,TSD Ia,crocoturtle,turtles,Y,2149,Bokony,species.in.TreeOfSex
272,Graptemys_barbouri,adult.sex.ratio,0.233,90,TSD,TSD Ia,crocoturtle,turtles,Y,505,Bokony,species.in.TreeOfSex
274,Graptemys_geographica,adult.sex.ratio,0.494,83,TSD,TSD Ia,crocoturtle,turtles,Y,557,Bokony,species.in.TreeOfSex
276,Graptemys_geographica,adult.sex.ratio,0.484,363,TSD,TSD Ia,crocoturtle,turtles,Y,"550, 551, 552",Bokony,species.in.TreeOfSex
277,Graptemys_geographica,adult.sex.ratio,0.531,98,TSD,TSD Ia,crocoturtle,turtles,Y,554,Bokony,species.in.TreeOfSex
278,Graptemys_geographica,adult.sex.ratio,0.521,305,TSD,TSD Ia,crocoturtle,turtles,Y,540,Bokony,species.in.TreeOfSex
281,Graptemys_geographica,adult.sex.ratio,0.503,151,TSD,TSD Ia,crocoturtle,turtles,Y,545,Bokony,species.in.TreeOfSex
284,Graptemys_geographica,adult.sex.ratio,0.548,704,TSD,TSD Ia,crocoturtle,turtles,Y,"542, 543",Bokony,species.in.TreeOfSex
285,Graptemys_geographica,adult.sex.ratio,0.462,52,TSD,TSD Ia,crocoturtle,turtles,Y,547,Bokony,species.in.TreeOfSex
288,Graptemys_ouachitensis,adult.sex.ratio,0.57,79,TSD,TSD Ia,crocoturtle,turtles,Y,559,Bokony,species.in.TreeOfSex
293,Graptemys_pseudogeographica,adult.sex.ratio,0.811,37,TSD,TSD Ia,crocoturtle,turtles,Y,547,Bokony,species.in.TreeOfSex
295,Graptemys_versa,adult.sex.ratio,0.636,55,TSD,TSD Ia,crocoturtle,turtles,Y,564,Bokony,species.in.TreeOfSex
2042d,Kinosternon_flavescens,adult.sex.ratio,0.397,58,TSD,TSD Ia,crocoturtle,turtles,Y,2042,Bokony,species.in.TreeOfSex
2042e,Kinosternon_flavescens,adult.sex.ratio,0.421,152,TSD,TSD Ia,crocoturtle,turtles,Y,2042,Bokony,species.in.TreeOfSex
2042f,Kinosternon_flavescens,adult.sex.ratio,0.606,33,TSD,TSD Ia,crocoturtle,turtles,Y,2042,Bokony,species.in.TreeOfSex
2079,Kinosternon_sonoriense,adult.sex.ratio,0.584,291,TSD,TSD Ia,crocoturtle,turtles,Y,2079,Bokony,species.in.TreeOfSex
2077a,Kinosternon_sonoriense,adult.sex.ratio,0.585,82,TSD,TSD Ia,crocoturtle,turtles,Y,2077,Bokony,species.in.TreeOfSex
2077b,Kinosternon_sonoriense,adult.sex.ratio,0.581,62,TSD,TSD Ia,crocoturtle,turtles,Y,2077,Bokony,species.in.TreeOfSex
2078a,Kinosternon_sonoriense,adult.sex.ratio,0.385,480,TSD,TSD Ia,crocoturtle,turtles,Y,2078,Bokony,species.in.TreeOfSex
2078b,Kinosternon_sonoriense,adult.sex.ratio,0.705,105,TSD,TSD Ia,crocoturtle,turtles,Y,2078,Bokony,species.in.TreeOfSex
344,Malaclemys_terrapin,adult.sex.ratio,0.576,262,TSD,TSD Ia,crocoturtle,turtles,Y,665,Bokony,species.in.TreeOfSex
345,Malaclemys_terrapin,adult.sex.ratio,0.601,1189,TSD,TSD Ia,crocoturtle,turtles,Y,"659, 89, 90",Bokony,species.in.TreeOfSex
350,Mauremys_japonica,adult.sex.ratio,0.474,350,TSD,TSD Ia,crocoturtle,turtles,Y,366,Bokony,species.in.TreeOfSex
351,Mauremys_japonica,adult.sex.ratio,0.428,257,TSD,TSD Ia,crocoturtle,turtles,Y,365,Bokony,species.in.TreeOfSex
352,Mauremys_reevesii,adult.sex.ratio,0.588,56,TSD,TSD Ia,crocoturtle,turtles,Y,"373, m53",Bokony,species.in.TreeOfSex
