Table 1
Citation,source,,,,,
365,"Okada et al. 2011. Current Herpetology 30, 53-61.",,,,,
366,"Yabe 1992. Japanese Journal of Herpetology 14, 191-197.",,,,,
373,"Usuda et al. 2012. Landscape Ecol Eng 8, 9–16",,,,,
377,Georges 1992. Australian Journal of Zoology 40  511 - 521,,,,,
378,"Webb et al. 1986. J. Zool. 1,521-550",,,,,
379,"Georges & Kennett 1989. Australian Wildlife Research 16, 323-335",,,,,
380,"Doody et al. 2004. Biological Journal of the Linnean Society 81, 1–16.",,,,,
387,"Mrosovsky et al. 1999. Can. J. Zool. 77, 831–835",,,,,
388,"Mrosovsky & Provancha 1992. Can J Zool 70, 530-538",,,,,
389,"Gross et al. 1995. General and Comparative Endocrinology 99, 204–210",,,,,
390,"Maxwell et al. 1988. South African Journal of Zoology 23, 342-350",,,,,
391,"Wibbels et al. 1987b. IN  Ecology of East Florida sea turtles  ed  Witzell , pp. 65-74",,,,,
392,"Wibbels et al. 1987a. IN  Ecology of East Florida sea turtles  ed  Witzell , pp. 59-64",,,,,
395,"Kaska et al. 1998. Can. J. Zool., 76, 723729",,,,,
399,"Rees et al. 2013. Mar Biol 160, 519–529",,,,,
400,"Wyneken et al. 2007. Herpetologica 63, 19-30",,,,,
402,"Henwood 1987. Biol Conserv 40, 191-202",,,,,
409,"Casale et al. 2014. Scientia Marina 78, 303-309",,,,,
412,"Godfrey et al. 1996. Can. J. Zool. 74, 267-277",,,,,
413,"LeBlanc et al. 2012. Chelonian Conservation and Biology 11, 108–116",,,,,
417,"Spotila et al. 1987. Herpetologica 43, 74-81",,,,,
418,"Mrosovsky et al. 1984. Science 225, 739-741",,,,,
428,"Ross 1984. Copeia 1984/3, 774-776",,,,,
429,"Pilcher et al. 2015. Endang Species Res 28, 163–174",,,,,
430,"Pilcher 2010. Journal of Herpetology 44, 168–171",,,,,
431,"Read & Limpus 2002. Memoirs of the Queensland Museum 48/1, 207-214",,,,,
432,Limpus et al. 2005. Monitoring green turtle population dynamics in Shoalwater Bay: 2000 - 2004. Report.,,,,,
437,"Godley et al. 2002. Mar. Ecol. Prog. Ser. 226,115–124",,,,,
439,"Trono 1991. Marine Turtle Newsletter 53, 57",,,,,
447,"Diez & van Dam 2003. Journal of Herpetology 37, 533–537",,,,,
451,"Loop et al. 1995. Wildlife Research 22(2), 241 - 251",,,,,
452,"Dobbs et al. 2010. Marine Turtle Newsletter 128, 1216",,,,,
454,Coyne 2000. Population sex ratio of the Kemp’s ridley sea turtle (Lepidochelys kempii): problems in population modeling. PhD Thesis,,,,,
469,"Dapp et al. 2013. Journal of Experimental Marine Biology and Ecology 448, 228–239",,,,,
476,Steen & Gibbs 2004. Conservation Biology 18  1143–1148,,,,,
477,"Gailbraith et al. 1988. Can. J. Zool . 66, 1233 - 1240.",,,,,
479,"Paisley et al. 2009. Canadian Field-Naturalist 123, 329–337.",,,,,
481,"Cagle 1942. Copeia 3, 155 - 162.",,,,,
482,"Juliana et al. 2004. Behav Ecol Sociobiol 56, 270–278",,,,,
483,"Kolbe & Janzen 2002. Ecology 83(1), 269–281",,,,,
484,"Packard et al. 1999. Can. J. Zool. 77,  278–289",,,,,
486,"Wilhoft et al. 1983. Journal of Herpetology 17, 38-42",,,,,
487,"Boundy & Kennedy 2006. Chelonian Conservation and Biology 5, 3-9.",,,,,
488,"Trauth et al. 1998. Chelonian Conservation and Biology 98, 64-70",,,,,
491,"Howey & Dinkelacker 2013. Copeia 2013/1,  58-63",,,,,
492,"Folt & Godwin 2013. Chelonian Conservation and Biology 12, 211-217.",,,,,
