population.ID,taxon,species,sex.determination,sex.det.source,birth.sex.ratio,juvenile.sex.ratio,adult.sex.ratio,matur.male,matur.female,mortality.male,mortality.female,N.babies,N.juveniles,N.adults,reference.ID
238,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.574,8.0,10.0,,,,,68,631
239,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.309,,,,,,,81,632
245,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.505,8.5,11.5,,,,,370,633
237,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.356,,,,,,,163,637
248,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.530,,,0.110,0.124,,,1412,641
243,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.546,,,,,,,282,641
249,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.675,,,,,,,126,650
253,turtles,Eretmochelys_imbricata,TSD,species.in.TreeOfSex,,0.790,,,,,,,31,,429
252,turtles,Eretmochelys_imbricata,TSD,species.in.TreeOfSex,,0.571,,,,,,,14,,447
250,turtles,Eretmochelys_imbricata,TSD,species.in.TreeOfSex,,,,,,0.289,0.078,,,269,729
251,turtles,Eretmochelys_imbricata,TSD,species.in.TreeOfSex,0.091,,,,,,,275,,,"451, 452"
254,turtles,Eretmochelys_imbricata,TSD,species.in.TreeOfSex,,,,15.0,17.0,,,,,,"m41, m47"
255,lizards,Eulamprus_heatwolei,TSD,species.in.TreeOfSex,,,0.485,2.0,3.0,,,,,66,1022
256,lizards,Eulamprus_tympanum,TSD,species.in.TreeOfSex,0.870,,0.471,2.5,3.5,,,23,,187,"1023, 1024"
258,lizards,Gambelia_wislizenii,GSD,genus.or.family.in.TreeOfSex,,,,1.8,1.8,,,,,,m23
257,lizards,Gambelia_wislizenii,GSD,genus.or.family.in.TreeOfSex,,0.514,0.575,,,0.383,0.570,,105,186,v20
261,lizards,Gehyra_variegata,GSD,genus.or.family.in.TreeOfSex,,,0.463,,,,,,,1318,67
262,lizards,Gehyra_variegata,GSD,genus.or.family.in.TreeOfSex,,,,2.5,2.5,,,,,,m39
259,lizards,Gehyra_variegata,GSD,genus.or.family.in.TreeOfSex,,,0.497,,,,,,,328,na2
260,lizards,Gehyra_variegata,GSD,genus.or.family.in.TreeOfSex,,,0.479,,,0.282,0.300,,,165,v21
2039d,turtles,Geochelone_elephantopus,TSD,species.in.TreeOfSex,,,0.475,,,,,,,162,2039
2039e,turtles,Geochelone_elephantopus,TSD,species.in.TreeOfSex,,,0.350,,,,,,,60,2039
2039b,turtles,Geochelone_elephantopus,TSD,species.in.TreeOfSex,,,0.599,,,,,,,157,2039
2039g,turtles,Geochelone_elephantopus,TSD,species.in.TreeOfSex,,,0.534,,,,,,,564,2039
2039a,turtles,Geochelone_elephantopus,TSD,species.in.TreeOfSex,,,0.357,,,,,,,98,2039
2039f,turtles,Geochelone_elephantopus,TSD,species.in.TreeOfSex,,,0.536,,,,,,,252,2039
2039c,turtles,Geochelone_elephantopus,TSD,species.in.TreeOfSex,,,0.698,,,,,,,321,2039
269,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,,,0.500,11.0,15.0,,,,,20,1001
271,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,,,0.505,11.0,14.0,,,,,109,1002
1003,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,,,,17.0,18.0,,,,,,1003
1005,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,,,,14.0,14.0,,,,,,1005
263,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,0.361,,,,,,,36,,,1006
264,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,,,0.571,,,,,,,21,1008
270,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,,,0.417,9.0,15.0,,,,,36,1010
265,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,,,0.500,,,,,,,32,1011
266,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,,,0.500,,,,,,,32,1012
267,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,,,0.400,,,,,,,60,1012
268,turtles,Glyptemys_insculpta,GSD,species.in.TreeOfSex,,,0.500,,,0.231,0.083,,,98,"1000, 1007"
new2018_1,turtles,Glyptemys_muhlenbergii,GSD,species.in.TreeOfSex,,,,7.0,8.0,,,,,,new2018_1
new2018_2,turtles,Glyptemys_muhlenbergii,GSD,species.in.TreeOfSex,,,,,,0.100,0.100,,,641,new2018_2
new2018_3,turtles,Glyptemys_muhlenbergii,GSD,species.in.TreeOfSex,,,0.417,,,0.107,0.107,,,48,new2018_3
2094a,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,,,,0.107,0.117,,,87,2094a
2098,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.231,,,,,,,13,2098
2101,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.639,,,,,,,36,2101
2104,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.593,,,0.060,0.060,,,54,2104
2105,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.366,,,,,,,70,2105
2106b,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.596,,,,,,,161,2106
2107d,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.321,,,,,,,28,2107
2108a,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.597,,,,,,,67,2108
2111a,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.565,,,,,,,30,2111
2114k,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.524,,,,,,,132,2114
2114i,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.490,,,,,,,53,2114
2114e,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.643,,,,,,,65,2114
2114a,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.412,,,,,,,93,2114
2114g,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.561,,,,,,,80,2114
2115,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.680,,,,,,,50,2115
2116g,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.559,,,,,,,46,2116
2116e,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.500,,,,,,,65,2116
2116c,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.485,,,,,,,62,2116
2116a,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.650,,,,,,,20,2116
2118b,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.400,,,,,,,75,2118
2121b,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.806,,,,,,,252,2121
2121a,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.479,,,,,,,71,2121
2122a,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.595,,,,,,,168,2122
2123a,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.500,,,,,,,32,2123
2125c,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.414,,,,,,,350,2125
2125d,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.468,,,,,,,156,2125
2127a1,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.594,,,,,,,32,2127
2129b,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.455,,,,,,,22,2129
2130a,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.609,,,,,,,69,2130
2130b,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.585,,,,,,,53,2130
2131i,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.404,,,,,,,52,2131
2131n,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.343,,,,,,,35,2131
2131d,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.402,,,,,,,92,2131
2133a,turtles,Gopherus_agassizii,TSD,species.in.TreeOfSex,,,0.549,,,,,,,122,2133
2136m,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.462,,,,,,,13,2136
2136l,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.606,,,,,,,71,2136
