population.ID,taxon,species,sex.determination,sex.det.source,birth.sex.ratio,juvenile.sex.ratio,adult.sex.ratio,matur.male,matur.female,mortality.male,mortality.female,N.babies,N.juveniles,N.adults,reference.ID
153,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.513,,,,,,,156,43
150,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.552,,,,,,,480,46
133,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.582,,,,,,,55,210
138,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.362,,,,,,,58,210
141,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.472,,,,,,,36,210
145,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.550,,,,,,,100,210
154,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.631,,,,,,,157,476
143,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.470,,,,,,,83,481
144,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.630,,,,,,,27,481
158,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.719,,,,,,,89,547
149,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.730,,,,,,,,548
148,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.300,,,,,,,257,549
157,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.835,,,,,,,786,556
140,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.559,,,,,,,34,559
160,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,0.607,,,,,,,,,,570
139,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.504,,,,,,,141,572
155,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.564,,,,,,,479,576
142,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.539,4.0,7.0,0.044,0.037,,,399,578
152,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.592,,,,,,,71,579
137,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.512,,,,,,,125,584
156,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.576,3.0,7.0,,,,,125,585
147,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.495,,,,,,,,586
159,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.450,,,,,,,,588
136,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.676,3.0,8.5,,,,,114,589
134,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.725,2.0,6.5,,,,,79,589
161,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.227,,,,,,,,685
151,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,,4.5,10.0,,,,,,687
135,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.547,,,0.222,0.222,,,503,732
146,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,,,0.495,,,,,,,839,"44, 212"
162,turtles,Chrysemys_picta,TSD,species.in.TreeOfSex,0.124,,0.295,,,,,210,,78,"574, 571"
169,turtles,Clemmys_guttata,TSD,species.in.TreeOfSex,,,0.207,,,,,,,29,154
168,turtles,Clemmys_guttata,TSD,species.in.TreeOfSex,,,0.518,11.0,12.0,0.058,0.035,,,166,155
163,turtles,Clemmys_guttata,TSD,species.in.TreeOfSex,,,0.447,,,,,,,38,593
165,turtles,Clemmys_guttata,TSD,species.in.TreeOfSex,,,0.436,,,,,,,140,595
167,turtles,Clemmys_guttata,TSD,species.in.TreeOfSex,,,0.517,,,,,,,,596
166,turtles,Clemmys_guttata,TSD,species.in.TreeOfSex,,,0.460,,,,,,,50,598
164,turtles,Clemmys_guttata,TSD,species.in.TreeOfSex,,,,,,0.079,0.022,,,31,733
170,snakes,Coluber_constrictor,GSD,genus.or.family.in.TreeOfSex,,,0.587,,,,,,,271,211
173,snakes,Coluber_constrictor,GSD,genus.or.family.in.TreeOfSex,,,,1.2,3.0,,,,,,m18
172,snakes,Coluber_constrictor,GSD,genus.or.family.in.TreeOfSex,,,,0.9,2.0,,,,,,m18
171,snakes,Coluber_constrictor,GSD,genus.or.family.in.TreeOfSex,,,,1.0,2.5,,,,,,m18
178,crocs,Crocodylus_acutus,TSD,species.in.TreeOfSex,,0.586,0.405,,,,,,70,37,51
179,crocs,Crocodylus_acutus,TSD,species.in.TreeOfSex,0.657,,,,,,,137,,,262
177,crocs,Crocodylus_acutus,TSD,species.in.TreeOfSex,,0.816,0.619,,,,,,76,21,271
175,crocs,Crocodylus_acutus,TSD,species.in.TreeOfSex,0.593,0.775,0.792,,,,,204,172,32,273
176,crocs,Crocodylus_acutus,TSD,species.in.TreeOfSex,,0.848,0.182,,,,,,46,11,274
174,crocs,Crocodylus_acutus,TSD,species.in.TreeOfSex,,0.541,0.541,,,,,,101,24,276
180,crocs,Crocodylus_acutus,TSD,species.in.TreeOfSex,,,0.610,,,,,,,,278
181,crocs,Crocodylus_johnstoni,TSD,species.in.TreeOfSex,0.182,,,,,,,236,,,300
183,crocs,Crocodylus_johnstoni,TSD,species.in.TreeOfSex,0.449,,,,,,,285,,,300
182,crocs,Crocodylus_johnstoni,TSD,species.in.TreeOfSex,,0.376,0.287,17.0,12.0,,,,526,265,301
185,crocs,Crocodylus_moreletii,TSD,species.in.TreeOfSex,,0.626,0.789,,,,,,754,185,52
186,crocs,Crocodylus_moreletii,TSD,species.in.TreeOfSex,,0.600,0.500,,,,,,55,28,264
184,crocs,Crocodylus_moreletii,TSD,species.in.TreeOfSex,,0.749,0.817,,,,,,1091,262,284
188,crocs,Crocodylus_niloticus,TSD,species.in.TreeOfSex,0.111,,,,,,,108,,,317
189,crocs,Crocodylus_niloticus,TSD,species.in.TreeOfSex,,0.616,0.447,,,,,,1162,77,322
187,crocs,Crocodylus_niloticus,TSD,species.in.TreeOfSex,,0.200,,,,,,,12,,323
191,crocs,Crocodylus_niloticus,TSD,species.in.TreeOfSex,,,,25.0,30.0,,,,,,"m25, m46"
190,crocs,Crocodylus_niloticus,TSD,species.in.TreeOfSex,,,,30.0,30.0,,,,,,"m35, m46"
192,crocs,Crocodylus_palustris,TSD,species.in.TreeOfSex,0.440,,,10.0,6.0,,,181,,,327
194,snakes,Crotalus_horridus,GSD,genus.or.family.in.TreeOfSex,0.491,,,,,,,588,,,g4
193,snakes,Crotalus_horridus,GSD,genus.or.family.in.TreeOfSex,,,,,,0.130,0.292,,,47,g42
195,snakes,Crotalus_horridus,GSD,genus.or.family.in.TreeOfSex,0.476,,0.549,3.5,7.5,0.161,0.205,143,,705,"v9, v10"
198,snakes,Crotalus_viridis,GSD,genus.or.family.in.TreeOfSex,0.470,,,,,,,115,,,g51
196,snakes,Crotalus_viridis,GSD,genus.or.family.in.TreeOfSex,0.427,,,2.0,4.0,0.180,0.180,143,,327,v11
197,snakes,Crotalus_viridis,GSD,genus.or.family.in.TreeOfSex,,,0.517,,,,,,,174,new30
200,lizards,Ctenosaura_bakeri,GSD,genus.or.family.in.TreeOfSex,,,0.564,,,,,,,546,53
199,lizards,Ctenosaura_bakeri,GSD,genus.or.family.in.TreeOfSex,,,0.456,2.5,2.5,,,,,125,g30
201,lizards,Ctenosaura_melanosterna,GSD,genus.or.family.in.TreeOfSex,,,0.435,2.0,2.0,0.270,0.060,,,207,"new32, new33"
202,lizards,Ctenosaura_oedirhina,GSD,genus.or.family.in.TreeOfSex,,,0.379,2.0,2.0,,,,,338,v12
203,turtles,Cuora_flavomarginata,TSD,Ota_et_al._2009._Chelonian_Research_Monographs,,,0.360,12.0,13.0,,,,,161,55
204,lizards,Cyclura_cychlura,GSD,genus.or.family.in.TreeOfSex,,,0.529,,,0.117,0.078,,,1074,v16
205,lizards,Cyclura_nubila,GSD,genus.or.family.in.TreeOfSex,,,0.545,,,,,,,42,56
206,turtles,Deirochelys_reticularia,TSD,species.in.TreeOfSex,,,0.798,2.0,5.0,,,,,119,601
207,turtles,Deirochelys_reticularia,TSD,species.in.TreeOfSex,,,0.655,2.5,9.5,0.290,0.290,,,29,602
210,turtles,Dermatemys_mawii,TSD,species.in.TreeOfSex,,,0.320,,,,,,,44,502
208,turtles,Dermatemys_mawii,TSD,species.in.TreeOfSex,,,0.250,,,,,,,41,503
209,turtles,Dermatemys_mawii,TSD,species.in.TreeOfSex,,,0.200,,,,,,,106,503
212,turtles,Dermochelys_coriacea,TSD,species.in.TreeOfSex,0.000,,,,,,,,,,508
213,turtles,Dermochelys_coriacea,TSD,species.in.TreeOfSex,,,0.562,,,,,,,28,510
214,turtles,Dermochelys_coriacea,TSD,species.in.TreeOfSex,,,0.350,,,,,,,80,510
211,turtles,Dermochelys_coriacea,TSD,species.in.TreeOfSex,0.356,,,,,,,686,,,"418, 421, 507"
215,snakes,Drymarchon_couperi,GSD,species.in.TreeOfSex,,,0.692,2.0,2.0,0.070,0.086,,,224,"v17, m4"
217,snakes,Elaphe_obsoleta,GSD,species.in.TreeOfSex,0.489,0.442,0.557,9.1,9.7,0.250,0.300,1606,95,106,"v19, g57, g66"
216,snakes,Elaphe_obsoleta,GSD,species.in.TreeOfSex,,0.265,0.575,4.0,4.8,,,,49,153,v19
218,snakes,Elaphe_quadrivirgata,GSD,species.in.TreeOfSex,,,0.537,1.8,1.8,,,,,67,2634
219,snakes,Emydocephalus_annulatus,GSD,species.in.TreeOfSex,,,0.610,,,,,,,313,218
220,snakes,Emydocephalus_annulatus,GSD,species.in.TreeOfSex,,,0.669,,,,,,,163,mod5
221,snakes,Emydocephalus_ijimae,GSD,genus.or.family.in.TreeOfSex,,,0.692,2.0,1.9,,,,,91,na6
223,turtles,Emydoidea_blandingii,TSD,species.in.TreeOfSex,,,0.422,,,,,,,187,164
225,turtles,Emydoidea_blandingii,TSD,species.in.TreeOfSex,,,0.532,,,,,,,77,213
222,turtles,Emydoidea_blandingii,TSD,species.in.TreeOfSex,,,0.301,,,,,,,,548
227,turtles,Emydoidea_blandingii,TSD,species.in.TreeOfSex,,,0.500,,,,,,,10,556
224,turtles,Emydoidea_blandingii,TSD,species.in.TreeOfSex,,,0.263,,,,,,,513,608
229,turtles,Emydoidea_blandingii,TSD,species.in.TreeOfSex,,,0.329,,,0.130,0.110,,,82,613
226,turtles,Emydoidea_blandingii,TSD,species.in.TreeOfSex,,,0.550,,,,,,,100,615
228,turtles,Emydoidea_blandingii,TSD,species.in.TreeOfSex,,,0.611,,,,,,,36,616
230,turtles,Emydoidea_blandingii,TSD,species.in.TreeOfSex,,,,12.0,14.0,,,,,,m33
232,turtles,Emydura_macquarii,GSD,species.in.TreeOfSex,,,0.641,12.0,21.0,,,,,1815,g55
231,turtles,Emydura_macquarii,GSD,species.in.TreeOfSex,0.580,,,,,,,100,,,v24
236,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.419,,,,,,,124,62
244,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.405,,,,,,,195,63
240,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.609,,,0.163,0.041,,,87,64
235,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.669,,,,,,,251,196
233,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.278,,,,,,,97,197
247,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.321,,,,,,,290,622
242,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.319,,,,,,,160,623
241,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.459,,,,,,,96,625
246,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.484,,,,,,,901,626
234,turtles,Emys_orbicularis,TSD,species.in.TreeOfSex,,,0.567,,,,,,,1163,628
